assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
GCF_000009185.1,PRJNA224116,SAMEA3138195,na,reference genome,362976,293091,Haloquadratum walsbyi DSM 16790,strain=DSM 16790 = HBSQ001,na,latest,Complete Genome,Major,Full,22/06/2006,ASM918v1,Max Planck Institute,GCA_000009185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/185/GCF_000009185.1_ASM918v1,na,na,na,haploid,archaea,3179361,3179361,48,2,2,2,NCBI RefSeq,GCF_000009185.1-RS_2024_05_05,05/05/2024,2925,2719,53,16820047
GCF_000015825.1,PRJNA224116,SAMN02598365,na,reference genome,368407,2198,Methanoculleus marisnigri JR1,strain=JR1,na,latest,Complete Genome,Major,Full,16/02/2007,ASM1582v1,DOE Joint Genome Institute,GCA_000015825.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/825/GCF_000015825.1_ASM1582v1,na,assembly from type material,na,haploid,archaea,2478101,2478101,62,1,1,1,NCBI RefSeq,GCF_000015825.1-RS_2024_05_01,01/05/2024,2516,2456,54,21304656
GCF_000015225.1,PRJNA224116,SAMN02598366,na,reference genome,368408,2269,Thermofilum pendens Hrk 5,strain=Hrk 5,na,latest,Complete Genome,Major,Full,18/12/2006,ASM1522v1,DOE Joint Genome Institute,GCA_000015225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/225/GCF_000015225.1_ASM1522v1,na,assembly from type material,na,haploid,archaea,1813393,1813393,57.5,2,2,2,NCBI RefSeq,GCF_000015225.1-RS_2024_05_01,01/05/2024,1973,1917,48,na
GCF_017352095.1,PRJNA224116,SAMN18137902,na,reference genome,370324,370324,Natrinema longum,strain=ABH32,na,latest,Complete Genome,Major,Full,14/03/2021,ASM1735209v1,Jiangsu University,GCA_017352095.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/352/095/GCF_017352095.1_ASM1735209v1,na,assembly from type material,na,haploid,archaea,3588874,3588874,64.5,1,1,1,NCBI RefSeq,GCF_017352095.1-RS_2024_05_06,06/05/2024,3600,3494,61,16902017
GCF_000019605.1,PRJNA224116,SAMN02598368,na,reference genome,374847,498846,Candidatus Korarchaeum cryptofilum OPF8,na,OPF8,latest,Complete Genome,Major,Full,18/03/2008,ASM1960v1,US DOE Joint Genome Institute,GCA_000019605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/605/GCF_000019605.1_ASM1960v1,na,na,na,haploid,archaea,1590757,1590757,49,1,1,1,NCBI RefSeq,GCF_000019605.1-RS_2024_09_08,08/09/2024,1730,1671,51,18535141
GCF_000015205.1,PRJNA224116,SAMN02598374,na,reference genome,384616,2277,Pyrobaculum islandicum DSM 4184,strain=DSM 4184,na,latest,Complete Genome,Major,Full,20/12/2006,ASM1520v1,DOE Joint Genome Institute,GCA_000015205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/205/GCF_000015205.1_ASM1520v1,na,assembly from type material,na,haploid,archaea,1826402,1826402,49.5,1,1,1,NCBI RefSeq,GCF_000015205.1-RS_2024_04_28,28/04/2024,2194,2080,49,na
GCF_000385565.1,PRJNA224116,SAMN02028569,na,reference genome,387631,1316941,Archaeoglobus sulfaticallidus PM70-1,strain=PM70-1,na,latest,Complete Genome,Major,Full,30/04/2013,ASM38556v1,"University of Bergen, Centre for Geobiology, Department of Biology",GCA_000385565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/565/GCF_000385565.1_ASM38556v1,na,assembly from type material,na,haploid,archaea,2076931,2076931,43,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/02/2024,2315,2244,56,23833130
GCF_000151105.2,PRJNA224116,SAMN02603625,na,reference genome,391623,55802,Thermococcus barophilus MP,strain=MP,na,latest,Complete Genome,Major,Full,17/12/2010,ASM15110v2,Moore Foundation,GCA_000151105.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/105/GCF_000151105.2_ASM15110v2,na,assembly from type material,na,haploid,archaea,2064237,2064237,41.5,2,2,2,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/09/2023,2284,2215,52,21217005
GCF_033472595.1,PRJNA224116,SAMN38028080,na,reference genome,394967,394967,Methanoculleus receptaculi,strain=DSM 18860,na,latest,Complete Genome,Major,Full,09/11/2023,ASM3347259v1,Sanming University,GCA_033472595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/472/595/GCF_033472595.1_ASM3347259v1,na,assembly from type material,na,haploid,archaea,1980381,1980381,59,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),12/11/2023,2075,1992,52,na
GCF_000018305.1,PRJNA224116,SAMN00623034,na,reference genome,397948,76887,Caldivirga maquilingensis IC-167,strain=IC-167,na,latest,Complete Genome,Major,Full,05/10/2007,ASM1830v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000018305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/305/GCF_000018305.1_ASM1830v1,na,assembly from type material,na,haploid,archaea,2077567,2077567,43,1,1,1,NCBI RefSeq,GCF_000018305.1-RS_2024_03_28,28/03/2024,2088,2038,45,na
GCF_000016605.1,PRJNA224116,SAMN02598389,na,reference genome,399549,43687,Metallosphaera sedula DSM 5348,strain=DSM 5348,na,latest,Complete Genome,Major,Full,25/04/2007,ASM1660v1,US DOE Joint Genome Institute,GCA_000016605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/605/GCF_000016605.1_ASM1660v1,na,assembly from type material,na,haploid,archaea,2191517,2191517,46,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),09/11/2023,2406,2331,51,18083856
GCF_000015945.1,PRJNA224116,SAMN02598390,na,reference genome,399550,2280,Staphylothermus marinus F1,strain=F1,na,latest,Complete Genome,Major,Full,21/02/2007,ASM1594v1,US DOE Joint Genome Institute,GCA_000015945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/945/GCF_000015945.1_ASM1594v1,na,assembly from type material,na,haploid,archaea,1570485,1570485,35.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),24/04/2023,1690,1637,50,21304655
GCF_000016125.1,PRJNA224116,SAMN02598397,na,na,402880,39152,Methanococcus maripaludis C5,strain=C5,na,latest,Complete Genome,Major,Full,15/03/2007,ASM1612v1,DOE Joint Genome Institute,GCA_000016125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/125/GCF_000016125.1_ASM1612v1,na,na,na,haploid,archaea,1789046,1789046,33,2,2,2,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),09/02/2024,1927,1868,50,na
GCF_000017165.1,PRJNA224116,SAMN02598403,na,reference genome,406327,2187,Methanococcus vannielii SB,strain=SB,na,latest,Complete Genome,Major,Full,29/06/2007,ASM1716v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000017165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/165/GCF_000017165.1_ASM1716v1,na,assembly from type material,na,haploid,archaea,1720048,1720048,31.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),15/02/2024,1780,1714,53,na
GCF_000281695.1,PRJNA224116,SAMN02603638,na,na,406552,406552,Natrinema sp. J7-2,strain=J7-2,na,latest,Complete Genome,Major,Full,25/07/2012,ASM28169v1,Nankai University,GCA_000281695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/695/GCF_000281695.1_ASM28169v1,na,na,na,haploid,archaea,3793615,3793615,64,2,2,2,NCBI RefSeq,GCF_000281695.1-RS_2024_05_08,08/05/2024,3823,3660,63,22911826
GCF_000015765.1,PRJNA224116,SAMN00623052,na,reference genome,410358,83984,Methanocorpusculum labreanum Z,strain=Z,na,latest,Complete Genome,Major,Full,01/02/2007,ASM1576v1,DOE Joint Genome Institute,GCA_000015765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/765/GCF_000015765.1_ASM1576v1,na,assembly from type material,na,haploid,archaea,1804962,1804962,50,1,1,1,NCBI RefSeq,GCF_000015765.1-RS_2024_05_01,01/05/2024,1871,1807,64,21304657
GCF_000015805.1,PRJNA224116,SAMN00623060,na,reference genome,410359,181486,Pyrobaculum calidifontis JCM 11548,strain=JCM 11548,na,latest,Complete Genome,Major,Full,27/02/2007,ASM1580v1,DOE Joint Genome Institute,GCA_000015805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/805/GCF_000015805.1_ASM1580v1,na,assembly from type material,na,haploid,archaea,2009313,2009313,57,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),27/11/2023,2323,2261,49,na
GCF_000015145.1,PRJNA224116,SAMN02604082,na,reference genome,415426,54248,Hyperthermus butylicus DSM 5456,strain=DSM 5456,na,latest,Complete Genome,Major,Full,22/01/2007,ASM1514v1,Univ. Copenhagen,GCA_000015145.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/145/GCF_000015145.1_ASM1514v1,na,assembly from type material,na,haploid,archaea,1667163,1667163,53.5,1,1,1,NCBI RefSeq,GCF_000015145.1-RS_2024_03_28,28/03/2024,1826,1752,51,17350933
GCF_000022205.1,PRJNA224116,SAMN02598407,na,reference genome,416348,2247,Halorubrum lacusprofundi ATCC 49239,strain=ATCC 49239,na,latest,Complete Genome,Major,Full,04/02/2009,ASM2220v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000022205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/205/GCF_000022205.1_ASM2220v1,na,assembly from type material,na,haploid,archaea,3692576,3692576,64,3,3,3,NCBI RefSeq,GCF_000022205.1-RS_2024_05_05,05/05/2024,3670,3517,62,23536799;27617060;23320757;29109294;31463573;29189043
GCF_000017185.1,PRJNA224116,SAMN00623051,na,reference genome,419665,42879,Methanococcus aeolicus Nankai-3,strain=Nankai-3,na,latest,Complete Genome,Major,Full,29/06/2007,ASM1718v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000017185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/185/GCF_000017185.1_ASM1718v1,na,assembly from type material,na,haploid,archaea,1569500,1569500,30,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),15/02/2024,1572,1514,49,na
GCF_000022485.1,PRJNA224116,SAMN02598411,na,na,419942,43080,Sulfolobus islandicus Y.N.15.51,strain=Y.N.15.51,na,latest,Complete Genome,Major,Full,29/04/2009,ASM2248v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000022485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/485/GCF_000022485.1_ASM2248v1,na,assembly designated as reftype,na,haploid,archaea,2854410,2854410,35.5,2,2,2,NCBI RefSeq,GCF_000022485.1-RS_2024_03_30,30/03/2024,3247,2905,51,19435847
GCF_000016525.1,PRJNA224116,SAMN02604313,na,reference genome,420247,2173,Methanobrevibacter smithii ATCC 35061,strain=ATCC 35061; PS; DSMZ 861,na,latest,Complete Genome,Major,Full,04/06/2007,ASM1652v1,Washington University Center for Genome Sciences,GCA_000016525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/525/GCF_000016525.1_ASM1652v1,na,assembly from type material,na,haploid,archaea,1853160,1853160,31,1,1,1,NCBI RefSeq,GCF_000016525.1-RS_2024_03_28,28/03/2024,1810,1743,45,17563350
GCF_000024305.1,PRJNA224116,SAMN02598413,na,na,425944,43080,Sulfolobus islandicus L.D.8.5,strain=L.D.8.5,na,latest,Chromosome,Major,Full,22/01/2010,ASM2430v1,US DOE Joint Genome Institute,GCA_000024305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/305/GCF_000024305.1_ASM2430v1,na,na,na,haploid,archaea,2748647,2748637,35.5,2,2,2,NCBI RefSeq,GCF_000024305.1-RS_2024_04_22,22/04/2024,3097,2831,51,na
GCF_000022445.1,PRJNA224116,SAMN02598414,na,reference genome,426118,43080,Sulfolobus islandicus M.16.4,strain=M.16.4,na,latest,Complete Genome,Major,Full,27/05/2009,ASM2244v1,US DOE Joint Genome Institute,GCA_000022445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/445/GCF_000022445.1_ASM2244v1,na,na,na,haploid,archaea,2586647,2586647,35,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/01/2024,2862,2696,52,19435847
GCF_000022405.1,PRJNA224116,SAMN02598416,na,na,427317,43080,Sulfolobus islandicus M.14.25,strain=M.14.25,na,latest,Complete Genome,Major,Full,24/04/2009,ASM2240v1,US DOE Joint Genome Institute,GCA_000022405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/405/GCF_000022405.1_ASM2240v1,na,na,na,haploid,archaea,2608832,2608832,35,1,1,1,NCBI RefSeq,GCF_000022405.1-RS_2024_03_29,29/03/2024,2908,2694,51,19435847
GCF_000022425.1,PRJNA224116,SAMN02598417,na,na,427318,43080,Sulfolobus islandicus M.16.27,strain=M.16.27,na,latest,Complete Genome,Major,Full,29/04/2009,ASM2242v1,US DOE Joint Genome Institute,GCA_000022425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/425/GCF_000022425.1_ASM2242v1,na,na,na,haploid,archaea,2692402,2692402,35,1,1,1,NCBI RefSeq,GCF_000022425.1-RS_2024_03_29,29/03/2024,2949,2742,51,19435847
GCF_000022385.1,PRJNA224116,SAMN02598420,na,na,429572,43080,Sulfolobus islandicus L.S.2.15,strain=L.S.2.15,na,latest,Complete Genome,Major,Full,24/04/2009,ASM2238v1,US DOE Joint Genome Institute,GCA_000022385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/385/GCF_000022385.1_ASM2238v1,na,na,na,haploid,archaea,2736272,2736272,35,1,1,1,NCBI RefSeq,GCF_000022385.1-RS_2024_03_30,30/03/2024,3088,2830,51,19435847
GCF_000018465.1,PRJNA224116,SAMN00000032,na,reference genome,436308,338192,Nitrosopumilus maritimus SCM1,strain=SCM1,na,latest,Complete Genome,Major,Full,15/11/2007,ASM1846v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000018465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/465/GCF_000018465.1_ASM1846v1,na,assembly from type material,na,haploid,archaea,1645259,1645259,34,1,1,1,NCBI RefSeq,GCF_000018465.1-RS_2024_03_28,28/03/2024,1973,1924,48,20421470
GCF_000022465.1,PRJNA224116,SAMN02598422,na,na,439386,43080,Sulfolobus islandicus Y.G.57.14,strain=Y.G.57.14,na,latest,Complete Genome,Major,Full,29/04/2009,ASM2246v1,US DOE Joint Genome Institute,GCA_000022465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/465/GCF_000022465.1_ASM2246v1,na,na,na,haploid,archaea,2702058,2702058,35.5,1,1,1,NCBI RefSeq,GCF_000022465.1-RS_2024_03_30,30/03/2024,3036,2752,53,19435847
GCF_000025665.1,PRJNA224116,SAMN02598523,na,na,439481,379547,Aciduliprofundum boonei T469,strain=T469,na,latest,Complete Genome,Major,Full,24/02/2010,ASM2566v1,US DOE Joint Genome Institute,GCA_000025665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/665/GCF_000025665.1_ASM2566v1,na,na,na,haploid,archaea,1486778,1486778,39,1,1,1,NCBI RefSeq,GCF_000025665.1-RS_2024_05_23,23/05/2024,1598,1542,51,na
GCF_000019805.1,PRJNA224116,SAMN02598332,na,reference genome,444157,70771,Pyrobaculum neutrophilum V24Sta,strain=V24Sta,na,latest,Complete Genome,Major,Full,27/03/2008,ASM1980v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000019805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/805/GCF_000019805.1_ASM1980v1,na,assembly from type material,na,haploid,archaea,1769823,1769823,60,1,1,1,NCBI RefSeq,GCF_000019805.1-RS_2024_05_01,01/05/2024,2070,2011,49,na
GCF_000017945.1,PRJNA224116,SAMN02598324,na,reference genome,453591,160233,Ignicoccus hospitalis KIN4/I,strain=KIN4/I,na,latest,Complete Genome,Major,Full,29/08/2007,ASM1794v1,US DOE Joint Genome Institute,GCA_000017945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/945/GCF_000017945.1_ASM1794v1,na,assembly from type material,na,haploid,archaea,1297538,1297538,56.5,1,1,1,NCBI RefSeq,GCF_000017945.1-RS_2024_03_28,28/03/2024,1531,1474,53,19000309
GCF_000017625.1,PRJNA224116,SAMN02598409,na,reference genome,456442,358766,Methanoregula boonei 6A8,strain=6A8,na,latest,Complete Genome,Major,Full,26/07/2007,ASM1762v1,US DOE Joint Genome Institute,GCA_000017625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/625/GCF_000017625.1_ASM1762v1,na,assembly from type material,na,haploid,archaea,2542943,2542943,54.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),16/02/2024,2550,2491,54,na
GCF_000172995.2,PRJNA224116,SAMN00002580,na,reference genome,469382,60847,Halogeometricum borinquense DSM 11551,strain=DSM 11551,na,latest,Complete Genome,Major,Full,22/11/2010,ASM17299v2,US DOE Joint Genome Institute (JGI-PGF),GCA_000172995.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/995/GCF_000172995.2_ASM17299v2,na,assembly from type material,na,haploid,archaea,3944467,3944467,60,6,6,6,NCBI RefSeq,GCF_000172995.2-RS_2024_05_05,05/05/2024,3931,3818,60,21304651
GCF_000069025.1,PRJNA224116,SAMEA3138275,na,na,478009,2242,Halobacterium salinarum R1,strain=DSM 671 = R1,na,latest,Complete Genome,Major,Full,12/02/2008,ASM6902v1,Max Planck Institute,GCA_000069025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/025/GCF_000069025.1_ASM6902v1,na,na,na,haploid,archaea,2668776,2668776,65.5,5,5,5,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/02/2024,2823,2711,52,18313895
GCF_000023965.1,PRJNA224116,SAMN00002610,na,reference genome,485914,57705,Halomicrobium mukohataei DSM 12286,strain=DSM 12286,na,latest,Complete Genome,Major,Full,03/09/2009,ASM2396v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000023965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/965/GCF_000023965.1_ASM2396v1,na,assembly from type material,na,haploid,archaea,3332349,3332349,65.5,2,2,2,NCBI RefSeq,GCF_000023965.1-RS_2024_03_28,28/03/2024,3444,3331,58,21304667
GCF_029633915.1,PRJNA224116,SAMN25047802,na,reference genome,487686,487686,Methanomicrobium antiquum,strain=DSM 21220,na,latest,Complete Genome,Major,Full,10/04/2023,ASM2963391v1,National Chung Hsing University,GCA_029633915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/633/915/GCF_029633915.1_ASM2963391v1,na,assembly from type material,na,haploid,archaea,2438126,2438126,37.5,1,1,1,NCBI RefSeq,GCF_029633915.1-RS_2024_04_10,10/04/2024,2378,2303,64,na
GCF_000020905.1,PRJNA224116,SAMN02603098,na,na,490899,94694,Desulfurococcus amylolyticus 1221n,strain=1221n,na,latest,Complete Genome,Major,Full,24/12/2008,ASM2090v1,Centre 'Bioengineering' RAS,GCA_000020905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/905/GCF_000020905.1_ASM2090v1,na,assembly from synonym type material,na,haploid,archaea,1365223,1365223,45.5,1,1,1,NCBI RefSeq,GCF_000020905.1-RS_2024_03_28,28/03/2024,1493,1439,52,19114480
GCF_000023945.1,PRJNA224116,SAMN00002611,na,reference genome,519442,146826,Halorhabdus utahensis DSM 12940,strain=DSM 12940,na,latest,Complete Genome,Major,Full,27/08/2009,ASM2394v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000023945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/945/GCF_000023945.1_ASM2394v1,na,assembly from type material,na,haploid,archaea,3116795,3116795,63,1,1,1,NCBI RefSeq,GCF_000023945.1-RS_2024_05_01,01/05/2024,3055,2984,51,21304660
GCF_000021965.1,PRJNA224116,SAMN00001866,na,reference genome,521011,475088,Methanosphaerula palustris E1-9c,strain=E1-9c,na,latest,Complete Genome,Major,Full,05/01/2009,ASM2196v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000021965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/965/GCF_000021965.1_ASM2196v1,na,assembly from type material,na,haploid,archaea,2922917,2922917,55.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/02/2024,2872,2761,70,26543115
GCF_000306765.2,PRJNA224116,SAMN02603397,na,na,523841,2252,Haloferax mediterranei ATCC 33500,strain=CGMCC 1.2087,na,latest,Complete Genome,Major,Full,27/05/2014,ASM30676v2,"Institute of Microbiology, Chinese Academy of Sciences",GCA_000306765.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/765/GCF_000306765.2_ASM30676v2,na,assembly from type material,na,haploid,archaea,3904707,3904707,60.5,4,4,4,NCBI RefSeq,GCF_000306765.2-RS_2024_05_05,05/05/2024,3934,3796,65,22247127;22843593
GCF_000969885.1,PRJNA224116,SAMN03074597,na,reference genome,523844,2210,Methanosarcina thermophila TM-1,strain=TM-1,na,latest,Complete Genome,Major,Full,07/04/2015,ASM96988v1,University of Illinois at Urbana-Champaign,GCA_000969885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/885/GCF_000969885.1_ASM96988v1,na,assembly from type material,na,haploid,archaea,3127379,3127379,41,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/02/2024,2801,2705,68,na
GCF_946463545.1,PRJNA224116,SAMEA110262234,na,reference genome,523845,2186,Methanothermococcus thermolithotrophicus DSM 2095,na,M. thermolithotrophicus DSM 2095,latest,Complete Genome,Major,Full,31/08/2022,Mth-DSM-2095-CCS-WG,Max Planck Institute for Marine Microbiology,GCA_946463545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/946/463/545/GCF_946463545.1_Mth-DSM-2095-CCS-WG,na,na,na,haploid,archaea,1706496,1706496,33,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/11/2023,1729,1671,47,na
GCF_019175345.1,PRJNA224116,SAMN18432893,na,reference genome,523848,2286,Saccharolobus shibatae B12,strain=B12,na,latest,Complete Genome,Major,Full,08/07/2021,ASM1917534v1,Skolkovo Institute of Science and Technology,GCA_019175345.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/175/345/GCF_019175345.1_ASM1917534v1,na,assembly from type material,na,haploid,archaea,2916875,2916875,35.5,2,2,2,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),24/12/2023,3159,2968,51,34190379
GCF_000246985.2,PRJNA224116,SAMN02603679,na,reference genome,523849,2265,Thermococcus litoralis DSM 5473,strain=DSM 5473,na,latest,Complete Genome,Major,Full,13/08/2013,ASM24698v3,"New England Biolabs, Inc.",GCA_000246985.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/246/985/GCF_000246985.2_ASM24698v3,na,assembly from type material,na,haploid,archaea,2215172,2215172,43,1,1,1,NCBI RefSeq,GCF_000246985.2-RS_2024_03_27,27/03/2024,2512,2396,52,22493191
GCF_000018365.1,PRJNA224116,SAMN02603476,na,reference genome,523850,342948,Thermococcus onnurineus NA1,strain=NA1,na,latest,Complete Genome,Major,Full,06/11/2008,ASM1836v1,Korea Ocean Research & Development Institute,GCA_000018365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/365/GCF_000018365.1_ASM1836v1,na,assembly from type material,na,haploid,archaea,1847607,1847607,51.5,1,1,1,NCBI RefSeq,GCF_000018365.1-RS_2024_03_27,27/03/2024,2055,1982,52,18790866
GCF_000215995.1,PRJNA224116,SAMN02603867,na,reference genome,529709,1008460,Pyrococcus yayanosii CH1,strain=CH1,na,latest,Complete Genome,Major,Full,07/06/2011,ASM21599v1,Shanghai JiaoTong University,GCA_000215995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/995/GCF_000215995.1_ASM21599v1,na,assembly from type material,na,haploid,archaea,1716818,1716818,51.5,1,1,1,NCBI RefSeq,GCF_000215995.1-RS_2024_09_05,05/09/2024,1946,1852,61,21705594
GCF_013388255.1,PRJNA224116,SAMN15340093,na,reference genome,536044,536044,Methanolobus zinderi,strain=DSM 21339,na,latest,Complete Genome,Major,Full,04/07/2020,ASM1338825v1,National Chung Hsing University,GCA_013388255.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/388/255/GCF_013388255.1_ASM1338825v1,na,assembly from type material,na,haploid,archaea,2704953,2704953,44,1,1,1,NCBI RefSeq,GCF_013388255.1-RS_2024_05_05,05/05/2024,2706,2635,59,na
GCF_000025325.1,PRJNA224116,SAMN02598471,na,reference genome,543526,62320,Haloterrigena turkmenica DSM 5511,strain=DSM 5511,na,latest,Complete Genome,Major,Full,19/01/2010,ASM2532v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000025325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/325/GCF_000025325.1_ASM2532v1,na,assembly from type material,na,haploid,archaea,5440782,5440782,64.5,7,7,7,NCBI RefSeq,GCF_000025325.1-RS_2024_05_05,05/05/2024,5281,5059,62,21304683
GCF_000025865.1,PRJNA224116,SAMN02598474,na,reference genome,547558,2176,Methanohalophilus mahii DSM 5219,strain=DSM 5219,na,latest,Complete Genome,Major,Full,31/03/2010,ASM2586v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000025865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/865/GCF_000025865.1_ASM2586v1,na,assembly from type material,na,haploid,archaea,2012424,2012424,42.5,1,1,1,NCBI RefSeq,GCF_000025865.1-RS_2024_05_01,01/05/2024,2079,1995,64,na
GCF_000025625.1,PRJNA224116,SAMN02598473,na,reference genome,547559,13769,Natrialba magadii ATCC 43099,strain=ATCC 43099,na,latest,Complete Genome,Major,Full,24/02/2010,ASM2562v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000025625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/625/GCF_000025625.1_ASM2562v1,na,assembly from type material,na,haploid,archaea,4443643,4443643,61,4,4,4,NCBI RefSeq,GCF_000025625.1-RS_2024_05_05,05/05/2024,4254,4114,63,22559199
